Workout date, 2015-12-28 00:00:00 
Duration, 86400
Calories burned, 0
Mean heart rate,  62.91
Maximum heart rate, 93
Notes, Resting heart rate: 51 - 63 - 93

Time (seconds), Rate (beats per minute)
 31981.0, 61
 33181.0, 72
 33781.1, 65
 34381.2, 69
 35581.1, 93
 36181.0, 61
 37381.0, 61
 37981.1, 65
 39181.1, 61
 45181.0, 74
 46381.0, 65
 49981.1, 57
 51181.1, 57
 53581.5, 61
 58381.1, 61
 58981.3, 74
 59581.2, 65
 70158.9, 61
 72558.9, 65
 74358.9, 69
 74958.9, 51
 76759.1, 61
 79159.0, 57
 79758.9, 61
 80959.0, 65
 82159.0, 61
 82758.9, 57
 84559.1, 65
 85159.1, 81
 85759.0, 61
 86359.0, 61
